,animal,session_clear,heart_rate,gsr,delay,stamp,change,start,session,end,session_se,calculated,hr_ref,hr_dif
49,Hermit,85,90.10294118,112.8970588,1.333333333,,0.083333333,0,85,0,85,0.294117647,84.76515152,5.337789661
50,Hermit,86,88.8646978,53.32348901,1.034090909,,0.005681818,0,86,0,86,0.032967033,83.02840909,5.836288711
51,Hermit,87,80.24190848,10.89097259,1.983333333,,0.016666667,0,87,0,87,0.495798319,76.09848485,4.143423634
52,Hermit,88,82.02871622,15.09895833,1.193548387,,0.032258065,0,88,0,88,0.162162162,74.28787879,7.740837428
53,Hermit,90,75.70426829,-0.320121951,1.078947368,,0.013157895,0,90,0,90,0.073170732,72.96969697,2.734571323
54,Hermit,91,83.84615385,-0.581081081,1.054054054,,0.027027027,0,91,0,91,0.051282051,80.92045455,2.925699301
55,Other,2,88.53571429,117.8392857,1.018181818,,0.018181818,0.018181818,2,0,2,0.017857143,88.53571429,-6.09037E-15
56,Other,3,75.34090909,218.4886364,1.015384615,,0,0.015384615,3,0,3,0.015151515,75.34090909,-2.58379E-15
57,Other,7,101.9469697,216.9153846,1.015384615,,0,0.015384615,7,0,7,0.015151515,101.9469697,-5.59822E-15
58,Other,9,69.49621212,0.090517241,1.015384615,,0,0.015384615,9,0,9,0.015151515,69.49621212,-3.44506E-15
59,Other,11,85.96969697,-0.106060606,1.064516129,,0,0.016129032,11,0,11,0.060606061,85.96969697,8.61264E-16
60,Other,15,87.20370377,123.537037,2.7,,0,0.033333333,15,0,15,0.444444444,87.20370377,2.63164E-15
61,Other,16,72.56060606,7.439393939,1.03125,,0,0.015625,16,0,16,0.03030303,72.56060606,-1.72253E-15
62,Other,17,110.2287234,0,2.428571429,,0,0.023809524,17,0,17,0.106382979,110.2287234,-3.02359E-16
63,Other,18,93.5959596,0.0546875,1.047619048,,0,0.015873016,18,0,18,0.045454545,93.5959596,1.14117E-14
64,Other,19,80.60984848,190.0076923,1.1,,0,0.016666667,19,0,19,0.090909091,80.60984848,4.30632E-16
65,Other,22,86.76515152,0.166666667,1.047619048,,0,0.015873016,22,0,22,0.045454545,86.76515152,-4.30632E-16
66,Other,24,98.08601409,161.401731,6.384615385,,0.025641026,0.025641026,24,0,24,0.235294118,98.08601409,3.62237E-15
67,Other,25,116.5,0,48,,0,0.5,25,0,25,0,116.5,0
68,Other,30,94.40116279,292.7954545,1.175,,0.025,0.025,30,0,30,0.069767442,94.40116279,5.94873E-15
69,Other,38,113.9704545,201.5,2.340909091,,0,0.022727273,38,0,38,0,113.9704545,1.61487E-15
70,Other,39,86.87234043,,1.468085106,,0,0.021276596,39,0,39,0,86.87234043,-1.81415E-15
71,Other,40,98.98076923,,3.384615385,,0,0.038461538,40,0,40,0,98.98076923,4.37257E-15
72,Other,41,100.6538462,,1.923076923,,0,0.025641026,41,0,41,0,100.6538462,-6.55886E-15
73,Other,43,80.97272727,0.043478261,2.2,,0,0.025,43,0,43,0.272727273,80.97272727,3.61731E-15
74,Other,44,81.82007576,0.033017716,1.4,,0,0.022222222,44,0,44,0.318181818,81.82007576,6.89011E-15
75,Other,45,75.81818182,0.057692308,1.015384615,,0,0.015384615,45,0,45,0.015151515,75.81818182,5.16758E-15
76,Other,46,101.4867424,75.93995098,1.081967213,,0,0.016393443,46,0,46,0.075757576,101.4867424,2.15316E-15
77,Other,49,68.71212121,6.039215686,1,,0,0.015151515,49,0,49,0,68.71212121,-6.02885E-15
78,Other,50,83.33143939,44.37867647,1.064516129,,0,0.016129032,50,0,50,0.060606061,83.33143939,3.01442E-15
79,Other,51,85.86363636,14.68478261,1.03125,,0,0.015625,51,0,51,0.03030303,85.86363636,3.87569E-15
80,Other,52,101.23168,2.9375,2.0625,,0,0.03125,52,0,52,0.448275862,101.23168,-6.86041E-15
81,Other,54,77.58333333,465.0833333,473081.5,,0.5,0.5,54,0,54,0.333333333,77.58333333,4.73695E-15
82,Other,55,84.52840955,226.6115399,1.434782609,,0,0.02173913,55,0,55,0.303030303,84.52840955,-2.15316E-15
83,Other,57,93.82884615,252.1679688,1.346938776,,0,0.020408163,57,0,57,0.246153846,93.82884615,-3.71669E-15
84,Other,58,98.75,333.5862069,1.606557377,,0,0.016393443,58,0,58,0.016129032,98.75,0
85,Other,59,71.66666667,116.78125,1,,0,0.015151515,59,0,59,0,71.66666667,-4.73695E-15
86,Other,60,96.25047348,94.30160985,1.118644068,,0,0.016949153,60,0,60,0.106060606,96.25047348,4.30632E-16
87,Other,63,85.86363636,378.1590909,1.015384615,,0,0.015384615,63,0,63,0.015151515,85.86363636,3.87569E-15
88,Other,64,68.36363636,0.015151515,1.015384615,,0,0.015384615,64,0,64,0.015151515,68.36363636,3.87569E-15
89,Other,66,69.66666667,-0.142857143,1.015384615,,0,0.015384615,66,0,66,0.015151515,69.66666667,-4.73695E-15
90,Other,67,81.75757576,-0.048387097,1.015384615,,0,0.015384615,67,0,67,0.015151515,81.75757576,6.89011E-15
91,Other,71,85.28030303,197.4924247,1.346938776,,0,0.020408163,71,0,71,0.257575758,85.28030303,-8.61264E-16
92,Other,72,78.97727273,382.8484848,1.03125,,0,0.015625,72,0,72,0.03030303,78.97727273,-6.45948E-15
93,Other,73,76.93939394,236.8712121,1.015384615,,0,0.015384615,73,0,73,0.015151515,76.93939394,1.72253E-15
94,Other,74,83.90151515,93.0530303,1.015384615,,0,0.015384615,74,0,74,0.015151515,83.90151515,-4.30632E-15
95,Other,75,77.72537879,42.0719697,1.160714286,,0,0.017857143,75,0,75,0.151515152,77.72537879,6.02885E-15
96,Other,77,64.45454545,165.2575758,1.015384615,,0,0.015384615,77,0,77,0.015151515,64.45454545,1.2919E-15
97,Other,78,65.98484848,64.390625,1.015384615,,0,0.015384615,78,0,78,0.015151515,65.98484848,4.30632E-16
98,Other,79,86.86538462,,1.134615385,,0,0.019230769,79,0,79,0,86.86538462,2.18629E-15
99,Other,80,87.05681818,232.6944444,1.064516129,,0,0.016129032,80,0,80,0.060606061,87.05681818,-5.16758E-15
100,Other,81,87.27272727,376.3692308,1,,0,0.015151515,81,0,81,0,87.27272727,6.45948E-15
101,Other,82,109.9163462,205.2103365,1.527272727,,0,0.018181818,82,0,82,0.153846154,109.9163462,4.80983E-15
102,Other,83,92.60984848,36.79829545,1.2,,0,0.018181818,83,0,83,0.166666667,92.60984848,4.30632E-16
103,Other,84,97.97253788,-0.169230769,1.118644068,,0,0.016949153,84,0,84,0.106060606,97.97253788,3.44506E-15
104,Other,85,84.76515152,154.5691288,1.137931034,,0,0.017241379,85,0,85,0.121212121,84.76515152,-4.30632E-16
105,Other,86,83.02840909,45.57007576,1.081967213,,0,0.016393443,86,0,86,0.075757576,83.02840909,-2.58379E-15
106,Other,87,76.09848485,48.01515152,1.015384615,,0,0.015384615,87,0,87,0.015151515,76.09848485,4.30632E-15
107,Other,88,74.28787879,96.28461538,1.015384615,,0,0.015384615,88,0,88,0.015151515,74.28787879,6.02885E-15
108,Other,90,72.96969697,-0.053030303,1.03125,,0,0.015625,90,0,90,0.03030303,72.96969697,8.61264E-16
109,Other,91,80.92045455,-0.4296875,1.064516129,,0,0.016129032,91,0,91,0.060606061,80.92045455,-1.2919E-15
110,Spider,2,92.76056338,119.7059859,1.059701493,,0.014925373,0,2,0.014925373,2,0.056338028,88.53571429,4.224849095
111,Spider,3,79.14,259.372449,1.020408163,,0.020408163,0,3,0.020408163,3,0.02,75.34090909,3.799090909
112,Spider,7,102.9032452,258.6829928,1.181818182,,0.022727273,0,7,0.022727273,7,0.153846154,101.9469697,0.956275495
113,Spider,9,73.18269231,14.078125,1.068493151,,0.01369863,0,9,0.01369863,9,0.064102564,69.49621212,3.686480186
114,Spider,11,100.5122283,9.762228261,1.12195122,,0.024390244,0,11,0.024390244,11,0.108695652,85.96969697,14.54253129
115,Spider,15,93.82608696,81.65217391,1,,0.02173913,0,15,0.02173913,15,0,87.20370377,6.622383191
116,Spider,16,76.07462687,94.43846154,1.046875,,0.015625,0,16,0.015625,16,0.044776119,72.56060606,3.514020805
117,Spider,17,109.027027,0.081081081,1,,0.027027027,0,17,0.027027027,17,0,110.2287234,-1.201696377
118,Spider,18,96.35459184,41.77835052,1.010309278,,0.010309278,0,18,0.010309278,18,0.010204082,93.5959596,2.758632241
119,Spider,19,81.85,165.1785714,1.060606061,,0.03030303,0,19,0.03030303,19,0.057142857,80.60984848,1.240151515
120,Spider,22,87.3515564,0.125,1.818181818,,0.045454545,0,22,0.045454545,22,0.45,86.76515152,0.586404881
121,Spider,24,97.61538462,132.7692308,1,,0.038461538,0,24,0.038461538,24,0,98.08601409,-0.470629478
122,Spider,25,113,142,1,,1,0,25,1,25,0,116.5,-3.5
123,Spider,30,95.74981399,244.125,1.166666667,,0.013888889,0,30,0.013888889,30,0.142857143,94.40116279,1.348651197
124,Spider,38,106.25,,1.178571429,,0.035714286,0,38,0.035714286,38,0,113.9704545,-7.720454545
125,Spider,39,91.34693878,,1,,0.020408163,0,39,0.020408163,39,0,86.87234043,4.47459835
126,Spider,40,102.9302326,,1.511627907,,0.023255814,0,40,0.023255814,40,0,98.98076923,3.949463327
127,Spider,41,99.55769231,516,1.461538462,,0.038461538,0,41,0.038461538,41,0,100.6538462,-1.096153846
128,Spider,43,91.83229167,0,1.45,,0.025,0,43,0.025,43,0.333333333,80.97272727,10.85956439
129,Spider,44,76.6964283,13.35714295,1.6,,0.028571429,0,44,0.028571429,44,0.375,81.82007576,-5.123647459
130,Spider,45,79.51162791,3.612903226,1,,0.023255814,0,45,0.023255814,45,0,75.81818182,3.693446089
